Index,Open,High,Low,Close,Volume,Adjusted
2010/5/6,126.290001,127.93,116,123.919998,13168800,107.027468
2010/5/7,123.360001,124.389999,120,122.099998,10584800,105.455567
2010/5/10,126.269997,126.669998,125.059998,126.269997,8463900,109.05712
2010/5/11,125.209999,128.419998,125.150002,126.889999,6498900,109.592605
2010/5/12,127.160004,132.850006,127.010002,132.679993,16626900,114.593318
2010/5/13,130.929993,133.100006,130.850006,131.479996,10497800,113.556902
2010/5/14,131.059998,131.669998,129.410004,131.190002,9920100,113.30644
2010/5/17,130.679993,131.759995,128.699997,130.440002,8923400,112.658679
2010/5/18,131.259995,131.990005,129.899994,129.949997,9330000,112.23547
2010/5/19,129.369995,130.5,127.82,128.860001,8669300,111.294059
2010/5/20,127.220001,127.959999,123.68,123.800003,13176500,106.923831
2010/5/21,122.160004,125.610001,121.400002,125.419998,12639500,108.322991
2010/5/24,125.260002,126.019997,124.040001,124.449997,6868600,107.485219
2010/5/25,121.470001,124.949997,121.470001,124.519997,9494800,107.545676
2010/5/26,124.889999,125.940002,123,123.230003,9083200,106.431532
2010/5/27,125.050003,126.389999,124.769997,126.389999,7725900,109.160764
2010/5/28,125.959999,126.279999,124.290001,125.260002,7421900,108.184806
2010/6/1,124.690002,126.879997,124.199997,124.339996,7135400,107.390213
2010/6/2,124.849998,127.5,124.349998,127.410004,7705300,110.041723
2010/6/3,127.75,128.220001,126.459999,127.959999,6645300,110.516744
2010/6/4,126.370003,127.099998,124.669998,125.279999,9669200,108.202076
2010/6/7,125.57,125.860001,124.129997,124.129997,6951400,107.208841
2010/6/8,124.260002,124.459999,122.82,123.720001,8399200,106.854735
2010/6/9,124.830002,125.839996,123.580002,123.900002,7795500,107.010198
2010/6/10,125.989998,128.220001,125.800003,127.68,7479700,110.274914
2010/6/11,126.730003,128.800003,126.440002,128.449997,5820200,110.939947
2010/6/14,128.5,129.970001,128.490005,128.5,6753000,110.983133
2010/6/15,128.929993,129.949997,128.369995,129.789993,6652500,112.097277
2010/6/16,128.339996,130.679993,128.339996,130.350006,6401000,112.58095
2010/6/17,130.070007,131.029999,129.860001,130.979996,5571000,113.125061
2010/6/18,131.020004,131.25,130.130005,130.149994,9581400,112.408203
2010/6/21,131.419998,131.940002,130.220001,130.649994,6857800,112.840044
2010/6/22,130.369995,131.470001,129.070007,129.300003,6030200,111.674082
2010/6/23,129.25,131.470001,129.089996,130.110001,6855800,112.373662
2010/6/24,129.570007,129.729996,127.699997,128.190002,5565500,110.715394
2010/6/25,128.339996,129.100006,127.120003,127.120003,10420400,109.791255
2010/6/28,127.650002,129.470001,127.220001,128.979996,6335100,111.397697
2010/6/29,127.349998,128.399994,124.120003,125.089996,9376200,108.037975
2010/6/30,124.830002,125.220001,123,123.480003,8018000,106.647453
2010/7/1,123.550003,124.209999,121.610001,122.57,9742100,105.861499
2010/7/2,123.290001,123.290001,120.610001,121.860001,6454500,105.248286
2010/7/6,123.580002,124.629997,122.169998,123.459999,6348700,106.630175
2010/7/7,123.470001,127.120003,123.470001,127,7090300,109.68761
2010/7/8,127.370003,128.149994,126.739998,127.970001,5439300,110.525383
2010/7/9,127.900002,128.199997,127.290001,127.959999,3898000,110.516744
2010/7/12,127.370003,128.830002,127.160004,128.669998,4206900,111.129958
2010/7/13,128.970001,130.979996,128.690002,130.479996,6687700,112.69322
2010/7/14,129.320007,131.600006,129.139999,130.720001,6607200,112.900508
2010/7/15,129.869995,130.919998,129.550003,130.720001,6186800,112.900508
2010/7/16,129.960007,130.149994,127.849998,128.029999,7002900,110.577202
2010/7/19,128.669998,130.380005,128.369995,129.789993,8388600,112.097277
2010/7/20,122.970001,126.559998,122.93,126.550003,16337400,109.298956
2010/7/21,126.440002,126.5,124.620003,125.269997,8615500,108.193438
2010/7/22,126.32,127.779999,126.050003,127.470001,6909000,110.093542
2010/7/23,127.300003,128.800003,127,128.380005,5078000,110.879496
2010/7/26,128.179993,128.429993,127.139999,128.410004,5174900,110.905405
2010/7/27,128.779999,129.169998,127.889999,128.630005,4648200,111.095416
2010/7/28,128.669998,129.350006,127.879997,128.429993,4248800,110.922669
2010/7/29,129.059998,129.5,127.139999,128.020004,8994200,110.56857
2010/7/30,127.43,128.979996,127.040001,128.399994,6021000,110.89676
2010/8/2,129.25,131.199997,129.25,130.759995,6437500,112.93505
2010/8/3,130.029999,131.039993,129.330002,130.369995,5091800,112.598214
2010/8/4,130.460007,131.5,129.850006,131.270004,4567500,113.375536
2010/8/5,130.729996,131.979996,130.529999,131.830002,4520600,113.859196
2010/8/6,130.410004,130.479996,128.759995,130.139999,6136200,112.95652
2010/8/9,130.789993,132.339996,130.399994,132,6131700,114.570929
2010/8/10,131.179993,132.490005,130.770004,131.839996,5471700,114.432052
2010/8/11,130.690002,130.690002,129.460007,129.830002,6316100,112.687454
2010/8/12,127.690002,128.779999,127.519997,128.300003,5132200,111.359474
2010/8/13,127.959999,128.460007,127.330002,127.870003,4669400,110.98625
2010/8/16,127.470001,128.229996,126.959999,127.769997,4009200,110.899449
2010/8/17,128.830002,129.850006,127.900002,128.449997,4298300,111.489663
2010/8/18,128.869995,130.199997,127.800003,129.389999,4883200,112.305549
